storeid,itemid,price
563,42,83.11,2020-03-11
467,47,3.1,2020-10-12
526,11,54.24,2020-02-27
11,23,8.97,2020-01-05
790,7,54.09,2020-10-18
273,48,27.3,2020-07-12
338,24,0.49,2020-03-12
925,49,6.15,2020-10-01
639,44,85.14,2020-05-18
1000,16,73.3,2020-05-29
560,34,82.2,2020-04-12
580,46,57.01,2020-02-21
827,45,78.95,2020-07-12
303,26,62.44,2020-10-15
16,24,21.65,2020-08-06
517,34,78.55,2020-04-17
956,17,44.35,2020-07-21
471,29,64.62,2020-01-03
939,20,3.27,2020-04-15
634,44,48.65,2020-01-21
210,30,37.76,2020-01-26
406,7,84.79,2020-07-31
770,35,33.25,2020-01-14
371,41,16.07,2020-11-03
821,41,24.42,2020-09-15
374,9,10.34,2020-05-02
318,19,43.95,2020-06-10
907,6,60.63,2020-02-01
111,47,49.49,2020-09-13
301,27,6.0,2020-08-15
930,12,38.77,2020-07-23
839,49,16.44,2020-07-31
334,25,95.33,2020-02-25
997,28,58.25,2020-08-07
185,17,76.8,2020-10-09
256,1,24.65,2020-04-23
684,42,5.17,2020-10-05
636,19,38.58,2020-08-02
658,29,51.45,2020-03-16
531,14,89.62,2020-12-04
429,44,15.08,2020-02-11
970,28,92.55,2020-10-21
392,40,99.02,2020-07-23
955,31,76.56,2020-04-18
415,27,30.19,2020-08-11
31,50,42.8,2020-10-24
324,9,38.46,2020-01-19
714,19,12.15,2020-02-08
150,28,55.93,2020-10-21
785,27,24.86,2020-08-12
911,29,42.84,2020-09-23
641,32,80.23,2020-02-24
188,48,30.17,2020-05-21
435,11,10.0,2020-07-19
695,24,13.97,2020-01-12
242,31,21.24,2020-09-02
381,34,89.3,2020-06-19
145,9,49.32,2020-10-31
738,12,10.94,2020-11-23
750,30,99.09,2020-07-21
968,45,63.21,2020-06-26
504,37,35.44,2020-09-23
714,4,84.97,2020-05-12
797,49,98.2,2020-07-24
687,1,83.06,2020-06-19
52,49,98.84,2020-09-26
333,33,44.14,2020-11-04
77,35,76.17,2020-01-30
720,27,87.2,2020-12-01
271,35,17.59,2020-03-11
1000,21,1.51,2020-07-30
338,41,90.8,2020-07-28
28,8,82.48,2020-04-25
84,16,53.97,2020-11-19
36,6,7.4,2020-12-03
225,38,85.94,2020-02-06
363,50,62.41,2020-02-10
89,30,2.87,2020-09-12
139,47,73.32,2020-03-10
440,23,69.44,2020-11-12
745,10,91.18,2020-12-30
334,26,6.54,2020-06-07
868,48,80.8,2020-02-12
426,4,88.34,2020-11-07
315,9,2.74,2020-09-24
469,36,98.54,2020-01-29
272,29,51.46,2020-10-26
532,19,89.41,2020-10-08
913,41,5.72,2020-07-03
959,25,79.11,2020-09-25
821,8,61.16,2020-09-28
112,46,95.83,2020-12-17
472,24,41.03,2020-06-23
902,31,29.89,2020-11-24
919,6,60.51,2020-12-21
903,46,79.86,2020-06-14
201,38,69.28,2020-02-02
834,45,13.94,2020-01-09
579,20,39.35,2020-03-20
898,4,32.5,2020-01-03
351,26,1.99,2020-07-04
581,1,12.44,2020-02-23
572,3,32.4,2020-01-12
132,7,71.64,2020-11-28
582,8,78.67,2020-05-04
80,27,76.01,2020-03-24
943,38,32.87,2020-07-08
302,46,13.88,2020-09-27
501,8,28.74,2020-01-14
749,19,10.91,2020-01-21
897,6,24.55,2020-10-06
480,47,44.77,2020-08-21
928,20,57.62,2020-01-14
717,6,0.65,2020-03-09
926,49,55.05,2020-01-04
444,21,35.66,2020-07-26
703,39,58.17,2020-03-05
346,5,89.88,2020-07-23
640,26,80.89,2020-10-06
652,25,52.7,2020-05-19
685,37,15.09,2020-08-16
466,7,37.14,2020-01-05
769,27,46.53,2020-10-26
822,49,12.95,2020-11-03
452,9,36.9,2020-11-06
25,49,12.79,2020-10-19
806,18,76.95,2020-11-10
647,2,53.39,2020-05-23
485,21,25.07,2020-05-02
956,11,61.32,2020-07-27
193,10,29.66,2020-08-21
660,4,49.79,2020-09-03
748,49,30.66,2020-02-28
828,30,34.31,2020-06-09
221,42,8.05,2020-08-09
375,7,54.24,2020-12-11
493,27,33.19,2020-06-19
57,41,40.92,2020-06-19
333,23,77.39,2020-12-09
4,21,21.85,2020-05-09
141,24,48.0,2020-05-24
209,16,47.56,2020-11-30
702,40,60.51,2020-09-26
13,9,53.88,2020-11-10
25,30,52.58,2020-02-22
344,17,13.01,2020-04-18
997,16,9.6,2020-10-05
109,21,96.51,2020-07-13
817,29,99.45,2020-04-20
819,4,4.21,2020-07-20
634,14,60.07,2020-07-10
746,32,62.08,2020-07-15
461,11,72.92,2020-03-06
969,4,37.63,2020-09-04
71,34,28.3,2020-08-11
109,1,81.04,2020-11-06
711,35,31.49,2020-04-12
665,17,96.53,2020-11-08
39,5,34.71,2020-11-16
643,26,72.45,2020-06-25
560,48,79.77,2020-05-27
354,18,23.05,2020-12-11
312,23,7.53,2020-12-15
880,37,41.32,2020-01-18
489,38,31.87,2020-01-21
694,24,98.63,2020-10-12
379,23,29.22,2020-04-21
765,23,64.82,2020-03-31
280,10,50.6,2020-04-25
475,47,69.79,2020-04-14
190,2,78.57,2020-05-07
547,37,79.74,2020-02-13
748,18,82.38,2020-05-03
297,45,54.62,2020-12-20
813,16,29.6,2020-08-14
341,36,9.6,2020-08-18
913,21,10.01,2020-04-27
927,28,22.93,2020-07-10
860,29,18.64,2020-03-14
651,4,43.82,2020-07-09
76,11,36.43,2020-08-11
294,47,27.69,2020-07-04
953,22,9.64,2020-01-06
428,36,5.23,2020-02-21
828,13,69.46,2020-07-06
28,4,77.17,2020-05-12
346,46,17.36,2020-01-01
352,46,92.34,2020-04-10
485,9,36.28,2020-07-04
257,44,33.07,2020-06-25
573,12,26.27,2020-01-12
57,30,63.51,2020-09-13
975,6,11.22,2020-07-29
265,14,31.99,2020-08-19
748,31,46.69,2020-02-26
608,14,40.33,2020-02-12
223,1,71.81,2020-09-27
954,49,32.4,2020-05-24
519,42,84.89,2020-12-13
54,36,59.95,2020-07-06
584,14,35.54,2020-11-27
229,36,29.02,2020-07-10
170,49,79.49,2020-08-13
198,27,27.14,2020-10-30
583,1,2.13,2020-11-01
328,30,30.89,2020-03-26
26,43,71.15,2020-11-30
889,29,21.75,2020-06-08
359,33,8.69,2020-09-21
815,37,87.45,2020-10-30
604,47,7.76,2020-05-08
516,33,52.32,2020-04-08
403,29,47.76,2020-10-05
897,15,50.8,2020-10-07
599,39,91.05,2020-08-14
514,5,58.98,2020-06-26
97,4,78.08,2020-03-04
264,26,7.24,2020-12-21
591,48,24.94,2020-04-21
539,18,88.1,2020-07-01
105,46,15.87,2020-07-04
595,10,37.32,2020-10-04
553,1,34.65,2020-07-27
644,48,62.44,2020-06-10
936,45,32.66,2020-12-20
943,29,53.32,2020-03-19
867,26,81.36,2020-03-11
96,14,19.48,2020-03-19
417,10,29.5,2020-05-18
81,43,95.99,2020-05-11
88,41,84.92,2020-04-16
688,42,18.63,2020-12-17
331,7,84.55,2020-01-07
284,34,30.01,2020-06-13
616,12,85.39,2020-05-25
993,5,64.49,2020-11-19
898,35,41.28,2020-06-09
896,4,83.16,2020-04-05
59,27,31.7,2020-02-03
959,14,24.24,2020-12-22
47,11,58.01,2020-06-03
31,35,34.66,2020-09-09
113,37,12.31,2020-04-19
980,20,70.79,2020-09-11
830,5,71.81,2020-04-19
641,27,89.44,2020-12-17
731,15,88.57,2020-12-23
454,43,76.45,2020-05-04
934,37,9.62,2020-07-16
597,15,79.73,2020-04-09
404,17,15.52,2020-10-01
857,16,96.31,2020-11-18
405,14,41.19,2020-01-21
658,1,56.56,2020-07-31
699,26,74.82,2020-05-26
303,38,73.21,2020-08-13
864,41,46.5,2020-01-18
692,26,52.24,2020-07-20
880,2,99.66,2020-07-08
612,21,91.9,2020-11-12
528,41,51.41,2020-11-11
925,5,13.36,2020-02-24
859,19,49.2,2020-03-11
987,12,39.99,2020-10-07
503,24,45.92,2020-11-12
945,36,83.07,2020-02-06
978,34,45.38,2020-02-22
695,32,90.25,2020-10-09
950,48,66.24,2020-01-10
798,8,92.65,2020-02-17
354,37,30.09,2020-08-14
881,6,72.42,2020-03-28
666,44,45.74,2020-08-17
303,28,7.39,2020-05-05
