storeid,name,state,latitude,longitude
1,propugnator,MD,38.354085,-75.884985
2,tonetics,SD,44.480881,-100.336338
3,muskwood,VA,38.193999,-77.793884
4,infraterrene,NV,40.012108,-116.875441
5,soord,NC,35.969903,-80.383675
6,nonplutocratic,AR,35.374418,-91.650251
7,catalyzator,KY,37.644923,-83.365267
8,transformism,MN,45.715307,-95.251013
9,rapscallionry,HI,20.292046,-154.710269
10,skirty,N/A,65.664684,-152.941506
11,quadriporticus,N/A,44.95303,-69.113422
12,verruga,WV,38.133961,-79.894737
13,cladophoraceous,AK,65.664684,-152.941506
14,antecede,OH,40.031072,-83.03752
15,intolerantness,N/A,44.95303,-69.113422
16,anatomicopathologic,LA,29.543469,-92.680413
17,Desmodontidae,IN,40.68374,-87.462458
18,jettage,MS,32.178874,-89.023094
19,basilic,N/A,40.012108,-116.875441
20,bussu,N/A,48.567627,-120.855173
21,discodactylous,PA,41.692642,-76.65909
22,nonattached,TN,36.549823,-87.124326
23,tautog,CO,39.748871,-105.18525
24,dolichurus,N/A,36.860032,-118.78227
25,coprophiliac,UT,40.19643,-112.734808
26,yeasty,SD,44.480881,-100.336338
27,superciliary,WI,45.327947,-89.813988
28,microsporiasis,HI,20.292046,-154.710269
29,hyponitrite,N/A,39.053106,-92.275866
30,fiberize,OK,35.948636,-97.510932
31,catechumenically,NV,40.012108,-116.875441
32,echinulated,OR,44.28531,-119.97871
33,endolymphangial,NM,34.521957,-106.37589
34,pialyn,KY,37.644923,-83.365267
35,dynamiting,MT,47.249367,-109.40318
36,egolatrous,RI,40.719704,-71.227877
37,unappreciativeness,IN,40.68374,-87.462458
38,stachydrin,WV,38.133961,-79.894737
39,Endoceratidae,VA,38.193999,-77.793884
40,autodiagnosis,CO,39.748871,-105.18525
41,narcosis,ND,47.432067,-101.390388
42,perioesophageal,CT,42.498249,-72.64596
43,encrinital,LA,29.543469,-92.680413
44,Protestantly,NJ,40.126848,-75.738211
45,bicorne,AZ,34.834117,-111.630656
46,supraorbital,ME,44.95303,-69.113422
47,biostatical,LA,29.543469,-92.680413
48,pelecypod,UT,40.19643,-112.734808
49,antimaniacal,WI,45.327947,-89.813988
50,scalewing,CT,42.498249,-72.64596
51,coumarilic,RI,40.719704,-71.227877
52,chryselectrum,SC,33.817564,-81.23246
53,arquifoux,HI,20.292046,-154.710269
54,Lawsoneve,SC,33.817564,-81.23246
55,twangle,OR,44.28531,-119.97871
56,homozygosis,MI,44.802664,-83.823395
57,unspleenishly,TX,30.968331,-100.103416
58,Squali,MO,39.053106,-92.275866
59,crusado,NM,34.521957,-106.37589
60,discocarp,NC,35.969903,-80.383675
61,piccadill,MN,45.715307,-95.251013
62,compoundable,AR,35.374418,-91.650251
63,bellowsman,IN,40.68374,-87.462458
64,orthron,MI,44.802664,-83.823395
65,Tocharian,OR,44.28531,-119.97871
66,unpartaken,WV,38.133961,-79.894737
67,Eriocomi,ND,47.432067,-101.390388
68,hoople,FL,28.276827,-81.891017
69,ripieno,RI,40.719704,-71.227877
70,snab,NJ,40.126848,-75.738211
71,Cuon,WY,43.364725,-106.403477
72,Todd,N/A,38.193999,-77.793884
73,myoalbumin,N/A,36.549823,-87.124326
74,gonotome,VA,38.193999,-77.793884
75,Hienz,N/A,45.327947,-89.813988
76,polybranchian,UT,40.19643,-112.734808
77,unilobular,VT,44.715538,-72.176309
78,perichondritis,AL,32.37966,-87.326073
79,Tipuloidea,ID,43.78621,-114.993258
80,pannose,MI,44.802664,-83.823395
81,repulsively,KY,37.644923,-83.365267
82,emmetropic,OK,35.948636,-97.510932
83,amygdalolith,N/A,38.354085,-75.884985
84,schoolward,N/A,20.292046,-154.710269
85,scroggy,NM,34.521957,-106.37589
86,unbolt,N/A,34.521957,-106.37589
87,skal,DE,38.087567,-74.633307
88,hypercosmic,N/A,39.748871,-105.18525
89,thunderheaded,IA,41.44548,-94.345643
90,canadol,IN,40.68374,-87.462458
91,endodermic,ME,44.95303,-69.113422
92,logistic,MD,38.354085,-75.884985
93,underrobe,N/A,40.19643,-112.734808
94,sylvan,IN,40.68374,-87.462458
95,intestation,IL,39.939347,-88.116803
96,pigment,AR,35.374418,-91.650251
97,Dhritarashtra,OR,44.28531,-119.97871
98,damnableness,WI,45.327947,-89.813988
99,Matawan,IN,40.68374,-87.462458
100,acosmism,KS,39.441572,-97.723783
101,explanation,ND,47.432067,-101.390388
102,paleocosmology,WI,45.327947,-89.813988
103,ilium,N/A,35.948636,-97.510932
104,belyingly,LA,29.543469,-92.680413
